,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
60,2.0732294693971402e-05,1.1330975466666543e-05,0.9988240116722141,,,
80,4.020927858647119e-05,2.179383040000007e-05,0.9945053186886142,,,
100,3.803718014987126e-05,1.9755460799999984e-05,0.9944425684688982,,,
aggregate,,,,3.2992917810104615e-05,1.7626755555555533e-05,0.9959239662765755
