,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
60,1.8065530367272755e-05,8.875829866666756e-06,0.9994386637013198,,,
80,1.991601796744651e-05,9.361372800000213e-06,0.9993162417911204,,,
100,7.533706519797865e-05,3.795510453333357e-05,0.9892830819107783,,,
aggregate,,,,3.777287117756597e-05,1.8730769066666845e-05,0.9960126624677396
