DF_index,RMSE_mean,MAE_mean,R2_mean
1,3.777287117756597e-05,1.8730769066666845e-05,0.9960126624677396
2,3.2992917810104615e-05,1.7626755555555533e-05,0.9959239662765755
3,1.7764424320529178e-05,9.467899377777631e-06,0.9990702414823699
