,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
60,1.0090719403676084e-05,4.4449551999996425e-06,0.9997965753587441,,,
80,1.0028385456040863e-05,5.318976533333577e-06,0.9997820385247601,,,
100,3.317416810187059e-05,1.8639766399999675e-05,0.9976321105636056,,,
aggregate,,,,1.7764424320529178e-05,9.467899377777631e-06,0.9990702414823699
