F0,F1,F2,F3,F4,F5,F6,F7,F8
-1.4140947301005056e-05,-7.640165412692647e-06,-7.886101159101639e-08,5.430593020477066e-06,-1.2215614076548653e-06,-6.72723321962283e-06,8.693421195711545e-05,0.00012085494088430546,-0.0006632324761760069
-1.0451195966083398e-05,-6.90732834398913e-06,6.453481187453047e-07,5.822398339161694e-06,-7.370841034306196e-07,-6.424492736327161e-06,9.091103205407537e-05,0.00011541397582071045,-0.0006756098185162034
-9.304184268191755e-06,-7.366380380614815e-06,4.0882262711928636e-07,5.107543828394847e-06,-1.7403567826241799e-06,-6.969465269252876e-06,0.00010911567410842117,0.00010534460065611254,-0.000704022419852707
-9.92674620026097e-06,-8.116205191887915e-06,-9.270065133950411e-07,4.183237264450254e-06,-2.783035277576053e-06,-8.291783293132458e-06,0.00015080337023217188,9.686438124140677e-05,-0.00074663137759513
-4.429353299919291e-06,-1.480492251920068e-06,-8.824286924638883e-08,4.036393312698587e-06,-2.837109173219533e-06,-8.542501854687942e-06,0.00016483421446209106,8.84260021973448e-05,-0.0007773664091898316
8.95083369314663e-06,1.1150333372245167e-05,2.143335336503254e-06,4.8648999742123155e-06,-2.0616941910631686e-06,-8.60205642878533e-06,0.00017465326806521687,7.474512080742208e-05,-0.0008305748726289236
1.0334063555649077e-05,1.145766457656192e-05,2.2391005372645013e-06,4.644235103552705e-06,-2.2781015458036863e-06,-8.591253433390535e-06,0.00017386550105419172,7.268864821443946e-05,-0.000837539690062486
8.6744474353885e-06,1.1454436862126527e-05,1.4254879808505083e-06,4.21358801898346e-06,-2.554830858730407e-06,-8.955700745974508e-06,0.00016888975639784524,7.233277145862334e-05,-0.0008379744552157955
8.781886762930116e-06,1.0327965989385524e-05,1.0002722757780032e-06,4.007836879335385e-06,-2.8460149142952715e-06,-1.1280864957640365e-05,0.00016516050511994983,7.17837651681084e-05,-0.0008405761843235588
7.4665015368405515e-06,1.0103616943330347e-05,3.376370569187843e-07,3.3686705937489846e-06,-2.912926901929246e-06,-1.1757551343743083e-05,0.00016077583210636294,7.143732503673379e-05,-0.0008428159370282766
6.1909789014169334e-06,9.393894135824125e-06,-3.9802997894481914e-07,3.100858458864196e-06,-3.6087725273477825e-06,-1.2138357449936955e-05,0.0001558516240577082,7.044921379659728e-05,-0.0008451199080608649
5.263339292880613e-06,8.63566495142718e-06,-6.818349055787894e-07,2.9444900543799032e-06,-3.875389743870449e-06,-1.2254400648371167e-05,0.00015608576133565888,6.99971621136063e-05,-0.0008486256244501504
4.8422893294332564e-06,7.907669162511391e-06,-9.104691700570843e-07,2.447173860123407e-06,-4.170666253972116e-06,-1.249593134296479e-05,0.00017328730467376768,6.959805300932209e-05,-0.0008671539219348487
4.555957610049481e-06,7.86947505515505e-06,-1.093298120901612e-06,2.1717446563605803e-06,-4.378356952911874e-06,-1.2429574941887838e-05,0.0001788783300806952,6.968639002504836e-05,-0.0008744341660782947
3.6660482295750304e-06,6.84717252514532e-06,-1.7496935447176112e-06,1.6944546651036972e-06,-4.555639176051046e-06,-1.2723644591759248e-05,0.00017831782347183312,6.9612657876137e-05,-0.0008778893447886185
2.3763545166284675e-06,6.008170857832998e-06,-2.92820975867505e-06,1.3420852056602089e-06,-4.804608529549095e-06,-1.3343215305839532e-05,0.00017617949664366488,6.940421784823683e-05,-0.0008814481234779797
-2.8683680799082733e-07,4.425914143593565e-06,-3.2445936896450957e-06,1.1106131649104034e-06,-5.174780651073309e-06,-1.3592242459751025e-05,0.00017508526043905336,6.917495855223554e-05,-0.0008862804580246885
-1.8438277788620066e-06,2.3860192166172786e-06,-2.6039360163188062e-06,1.356408468161629e-06,-4.5783243631246395e-06,-1.2843063122647307e-05,0.00017234279476871698,6.970068208988247e-05,-0.0008954269185957753
-3.7508313790201024e-06,8.672849622814878e-07,-2.136222314748734e-06,1.6538989801858346e-06,-3.9586128060607794e-06,-1.2357616446676764e-05,0.00017253577825813938,7.005275776438227e-05,-0.0009006626023518388
-4.936524438314243e-06,4.461737655803932e-07,-2.1366925420131744e-06,1.6703974829456791e-06,-3.961548734023718e-06,-1.2417340417785688e-05,0.00017123862323918865,7.063494020995284e-05,-0.0009046871938988885
-6.174390222025405e-06,2.8780824698465542e-06,-2.1734555159709896e-06,1.6592285927059214e-06,-4.0824171060700124e-06,-1.2472351100589537e-05,0.00017039356458426226,7.082373953091179e-05,-0.0009111544998997625
-7.838926697736563e-06,2.1110478760102315e-06,-2.2162580696952706e-06,1.7873576889302282e-06,-4.1584351842175795e-06,-1.2915706810247601e-05,0.000168275135651076,7.150400408952016e-05,-0.0009164850505436615
-9.102369894074797e-06,1.0223003012014207e-06,-2.6058974474781404e-06,1.7011868488918925e-06,-4.49832439372623e-06,-1.3189098110377527e-05,0.00016764654304038038,7.12276760223262e-05,-0.0009194255150338309
-1.0064240130905647e-05,3.3223772283865887e-07,-2.9915063497552045e-06,1.48189112453938e-06,-4.778463943398469e-06,-1.3553524863468553e-05,0.00016696214333429825,6.896334675371904e-05,-0.0009221223823145578
-9.761936276685232e-06,6.272705719740341e-07,-2.7942648686583044e-06,1.6760914470118495e-06,-4.5684807081552835e-06,-1.3376408959104518e-05,0.00016715744877656265,6.985071129126027e-05,-0.0009207655966075624
-9.278559429343416e-06,1.0728228574259836e-06,-2.5757002854414658e-06,1.8511772735921281e-06,-4.255025665216498e-06,-1.316576125813636e-05,0.00016746549309283918,7.153798881527223e-05,-0.0009187869340676835
-9.566224496303496e-06,9.463048628561395e-07,-2.5371126263601835e-06,1.9354574183744003e-06,-4.322784953593354e-06,-1.3126539162499443e-05,0.0001674480170298231,7.191859560056144e-05,-0.0009179638790062153
-1.0713391429097188e-05,-1.7509354039068004e-07,-3.3705922733525823e-06,1.5282050568937031e-06,-4.699274033624509e-06,-1.363413449011342e-05,0.00016663289618701238,7.128165070354152e-05,-0.0009201030981808878
-1.2350357303400355e-05,-1.0247671644341785e-06,-4.225857188518977e-06,1.3919312833668293e-06,-4.994742106407346e-06,-1.379341779816721e-05,0.00016615861191865528,6.98380466685158e-05,-0.0009237009469762953
-1.7578209920530465e-05,-1.9592724218177945e-06,-4.4725166157551525e-06,1.5825258196286236e-06,-5.320408975762382e-06,-1.3684734583580172e-05,0.00016441218813736992,6.978412377240953e-05,-0.0009272088605453155
-1.7966540292652202e-05,-2.2363004879715924e-06,-4.582615092191698e-06,1.5694481936378713e-06,-5.349221264478947e-06,-1.3555070601105369e-05,0.0001641968890976275,7.01791098345935e-05,-0.0009273198647208215
-1.7726051284921116e-05,-1.5532299868855845e-06,-4.305155609228993e-06,1.672028214767004e-06,-5.1972573475911246e-06,-1.273608058210757e-05,0.00016448645013969867,7.07983076311585e-05,-0.0009268118431749162
-1.6722233953506236e-05,8.839144557659136e-07,-3.996106313088642e-06,1.6273931125547387e-06,-4.9532007743498465e-06,-1.2418525186316423e-05,0.00016497611290614846,7.076287949385575e-05,-0.0009290753990744245
-1.6080826084520452e-05,2.3803999814637433e-06,-4.2868084114202015e-06,1.4961574835882961e-06,-5.152531724856349e-06,-1.3329510909465138e-05,0.00016398567190085858,6.990705032124445e-05,-0.0009334707678902541
-1.5587932427632296e-05,2.220857812214378e-06,-4.549864939507817e-06,1.3625741696796706e-06,-5.378148523740947e-06,-1.3690452017870026e-05,0.00016316382803456046,6.96467436574798e-05,-0.0009368677710985431
-1.5384606241402874e-05,1.046785688387584e-06,-4.8153651729184784e-06,1.1053853291038321e-06,-5.653904283136152e-06,-1.424966163859801e-05,0.00016262524795250747,6.933336523501779e-05,-0.0009406050788689871
-1.5523863776487674e-05,8.183505426428398e-07,-4.838412376614058e-06,1.1274997644628105e-06,-5.679977681101966e-06,-1.4310291418416937e-05,0.00016237454306345267,6.926949015847058e-05,-0.0009404628369431027
-1.5846398054272548e-05,8.047058714410616e-07,-4.774290251214182e-06,1.1342757847303763e-06,-5.648742061450118e-06,-1.429291940875168e-05,0.00016226869010916426,6.915641136245617e-05,-0.0009398298986854653
-1.635379820478468e-05,8.693429376226786e-07,-4.6881456649985795e-06,1.1999016930236344e-06,-5.528016823656988e-06,-1.4196949947016712e-05,0.0001618846170117053,6.916215419053221e-05,-0.0009382156038591223
-1.6470873475627724e-05,7.839130440741581e-07,-4.699644310471954e-06,1.2091147024844878e-06,-5.502759390032475e-06,-1.4172403355118692e-05,0.00016164406359330812,6.917055239970569e-05,-0.0009375647952083528
-1.6760397053948573e-05,5.41602073225818e-07,-4.694355696258313e-06,1.2275899076189027e-06,-5.551708028864873e-06,-1.4261145438107205e-05,0.0001614332124255112,6.905652956435013e-05,-0.0009372358264202227
-1.602322569045643e-05,5.794569123598377e-07,-4.751978278191104e-06,1.1415201658552815e-06,-5.505897761507657e-06,-1.4180877781356207e-05,0.00016149261071574268,6.901258464532394e-05,-0.0009375530249277985
-1.2904038034511344e-05,2.1547633122230716e-06,-4.643455711790026e-06,1.42798724945237e-06,-5.227365045071288e-06,-1.3634219112874851e-05,0.00016187598098801862,6.912712635691403e-05,-0.0009397119453357193
