F0,F1,F2,F3,F4,F5,F6,F7,F8
-9.892024360971066e-06,-1.7932294003690653e-06,1.2577183170990991e-06,7.63133441678916e-06,-2.2906113380223074e-06,-8.441997868338753e-06,3.98169162476984e-06,4.3374257522290714e-07,-0.0006551283256550588
-9.586626727982507e-06,-1.928138329668027e-06,1.2061789634456935e-06,7.551228633071949e-06,-2.442917158635715e-06,-8.277243600640404e-06,4.202810723197399e-06,8.089485750636321e-07,-0.0006678016094334001
-9.84659673657408e-06,-2.693919955568489e-06,1.1890837715048442e-06,7.049795890520085e-06,-2.554153045594778e-06,-7.812380353854795e-06,3.457841131200268e-06,1.6574899132540063e-07,-0.0006745427880485127
-1.0116225563242242e-05,-3.252423964223253e-06,6.368127089208161e-07,6.35554518592578e-06,-2.8321963567328848e-06,-8.256978803490951e-06,3.1384128749555724e-06,-9.206554252888517e-07,-0.0006765433256790482
-8.705093102202848e-06,-1.8964825239436464e-06,1.1146970398424006e-06,6.5254365152764155e-06,-1.8485125839014317e-06,-7.784640289302449e-06,3.825149734657576e-06,3.9262291922414925e-07,-0.0006892065460651965
-7.019461585695996e-06,1.1816970176623054e-06,2.4141283070946244e-06,8.31512736451508e-06,1.0667719334760223e-07,-6.056516452417523e-06,4.824586025581603e-06,5.5584514668129044e-06,-0.0007221667243591238
-6.768888559769047e-06,1.3319010754702614e-06,2.4565527479861472e-06,8.385882290101786e-06,2.026962796156321e-07,-6.013029718870367e-06,4.452108710026321e-06,5.825385094621856e-06,-0.000727901976274735
-8.060268284625556e-06,1.3890848934855954e-06,2.0078150559927647e-06,8.171992288656994e-06,2.1376780047392165e-08,-6.367260248505489e-06,2.63333515549885e-06,6.083757005048649e-06,-0.0007292385343344842
-7.023688608757811e-06,1.3207687834734754e-06,2.198264280816409e-06,8.150421709647756e-06,-8.912094403467323e-08,-7.733774892068638e-06,1.956259275388139e-06,5.390010822527905e-06,-0.0007324098421158787
-7.208540282695758e-06,1.2733212904552894e-06,2.137434911352836e-06,7.765403489724436e-06,-1.657966962866017e-07,-8.694119385573876e-06,6.846729615026907e-07,4.658610614202856e-06,-0.0007347406885915642
-7.451723248169167e-06,1.4157404732915534e-06,1.925806532874025e-06,7.753045108372272e-06,-5.467432353556124e-07,-8.904210109586147e-06,-3.97107073972044e-07,3.672166749959784e-06,-0.0007371173435529708
-8.03721243562009e-06,9.752005804011745e-07,1.6135243196900592e-06,7.52884618359869e-06,-9.342627202049961e-07,-9.244465744577689e-06,-8.524540864495616e-07,3.0789759279261023e-06,-0.0007394798537136495
-8.239576625521435e-06,5.371651175045642e-07,1.2871420662550377e-06,7.160674837820831e-06,-1.261043552374361e-06,-9.599910847665808e-06,1.2214669291618892e-06,2.856044252920664e-06,-0.0007438319972003216
-7.884746215663223e-06,9.690945241131371e-07,1.0718730872935991e-06,6.8950469285586504e-06,-1.4679210815103177e-06,-9.833881142663786e-06,1.7074180364103883e-06,3.035861698813212e-06,-0.0007470164475242387
-8.120628018769213e-06,9.307384130508619e-07,9.67390693810205e-07,6.578391010976515e-06,-1.6172400805634665e-06,-1.0168751146840513e-05,1.3721807149361579e-06,2.9950905452486133e-06,-0.0007487638738207358
-8.057551591668614e-06,1.0040260545144435e-06,8.832222539272922e-07,6.4330141114677275e-06,-1.6569891278979888e-06,-1.0895181540269493e-05,1.0626911403418801e-06,2.948092561401696e-06,-0.00074978635888404
-7.920323445298736e-06,1.1093556082415643e-06,9.082382861350067e-07,6.434666273710322e-06,-1.6798400015126861e-06,-1.1586558458430972e-05,1.2189487447235723e-06,2.684812690093759e-06,-0.0007523010013865546
-7.915487388806539e-06,1.0072760989225355e-06,1.3238050839143304e-06,6.5069969641725475e-06,-1.7786197781471258e-06,-1.2074006283379292e-05,1.5015740760892022e-06,2.577329543604082e-06,-0.0007547062366719299
-7.794736734833598e-06,1.1858334800683624e-06,1.2791998890215662e-06,6.550991116458322e-06,-2.6052718477106965e-06,-1.2414094145704658e-05,1.6755802531715463e-06,2.5038208537213856e-06,-0.0007567983578864168
-7.903568524399513e-06,1.3576015348906896e-06,1.10190230010932e-06,6.307361783646771e-06,-3.2197753337017633e-06,-1.254430710710131e-05,1.4992117777334514e-06,2.430994312671778e-06,-0.0007584931224327357
-8.091386717909747e-06,1.6719743611217111e-06,1.0710751630887597e-06,5.904158497198656e-06,-3.5228197668249304e-06,-1.270493402781211e-05,1.6128362285993584e-06,2.26836961790874e-06,-0.0007602846417109216
-8.205213347770162e-06,1.631598581666603e-06,1.0694403297630504e-06,5.853023119319096e-06,-3.665351823748711e-06,-1.2919317236789295e-05,1.4966607674241876e-06,2.054352624145969e-06,-0.0007612615613695612
-8.28117119178954e-06,1.5037557731651533e-06,1.0034805958979128e-06,5.776910093972429e-06,-3.822631323167658e-06,-1.2997976147399673e-05,1.4267054770515704e-06,2.0771044519975826e-06,-0.0007618268794186164
-8.418881155587357e-06,1.3723359331623158e-06,9.417028966401511e-07,5.67650509230946e-06,-4.002269832507669e-06,-1.3139743483356307e-05,1.298287974078496e-06,2.0552910138237137e-06,-0.0007621475967941158
-8.485288043216604e-06,1.391542023943575e-06,8.379825107128957e-07,5.6134934224951346e-06,-4.090565607148879e-06,-1.3219311674946468e-05,1.318991439713026e-06,2.084377060793005e-06,-0.0007625822561545618
-8.522928916994626e-06,1.2903123681551971e-06,7.465014063977371e-07,5.544651974022059e-06,-4.254203488179701e-06,-1.3321163531780643e-05,1.2733166701254852e-06,1.8383747549691086e-06,-0.0007630078962589258
-8.797505815386213e-06,1.205939059646212e-06,6.870229455134175e-07,5.420503933049364e-06,-4.341402154648358e-06,-1.3408932152099062e-05,1.3309893066453265e-06,1.8729109803179363e-06,-0.0007630132277919182
-9.003065970670031e-06,1.1448540769259913e-06,6.487888362041289e-07,5.37608385744619e-06,-4.399975448641042e-06,-1.3502479258358157e-05,1.329643826691797e-06,1.8745744034277663e-06,-0.0007629354593452388
-9.073466035238301e-06,1.0961054490418681e-06,6.540500398098349e-07,5.3410760187466354e-06,-4.521602151481506e-06,-1.3609032321045078e-05,1.427334188221447e-06,1.906949506953309e-06,-0.0007629234497172164
-1.0435704514497512e-05,1.4146957590734716e-06,6.75867101240327e-07,5.245093962237226e-06,-4.612337007340822e-06,-1.3833415146918737e-05,1.6936887316226805e-06,1.81621921199121e-06,-0.0007619471431196095
-1.0483781401631635e-05,1.397666094050243e-06,7.128828999417075e-07,5.1883111597894824e-06,-4.592306845732847e-06,-1.386556420468521e-05,1.6251921423300002e-06,1.8201083285372093e-06,-0.0007619105431948011
-1.0609950561197319e-05,1.5356126147855392e-06,7.695281957149242e-07,5.232901274460462e-06,-4.591184835997599e-06,-1.3718943572644274e-05,1.6277793986604686e-06,1.8498684697644052e-06,-0.0007619626460057566
-1.0812746750098883e-05,1.8480928481421273e-06,8.628674435802777e-07,5.261530867404293e-06,-4.562539893697636e-06,-1.3576771684495218e-05,1.8501629836134123e-06,1.8430314556540092e-06,-0.0007620953289589808
-9.809927315451564e-06,2.142024690685096e-06,8.486162843306622e-07,5.2872897145186645e-06,-4.506624411316755e-06,-1.3474119643087626e-05,1.2440516055872295e-06,1.919662709878667e-06,-0.000762371675324022
-8.848041224612739e-06,2.433781041753965e-06,8.662553524717868e-07,5.251747236388693e-06,-4.5327511576307175e-06,-1.3424695037489334e-05,7.713299912306605e-07,1.8901910858361019e-06,-0.0007625275189768237
-8.061299657147352e-06,2.6710220438892075e-06,8.224301998291432e-07,5.135741270730894e-06,-4.603074671308861e-06,-1.3445451878778729e-05,6.158919701118802e-07,1.787279451332277e-06,-0.0007622329070842002
-8.137663009316287e-06,2.709201905855195e-06,7.83663973903544e-07,5.135354533613058e-06,-4.551761748024416e-06,-1.3370762449230351e-05,5.507177026625202e-07,1.8531973394150115e-06,-0.0007616866499377537
-8.295781118676893e-06,2.7567342288211348e-06,8.276626140313944e-07,5.18906462402828e-06,-4.500634534672162e-06,-1.3311741774765205e-05,5.102495360036094e-07,1.9316106389824897e-06,-0.0007611785325692947
-8.3760058629748e-06,2.8088253412788572e-06,8.932805035465801e-07,5.2003986142732304e-06,-4.416902917748113e-06,-1.3202470033852043e-05,4.583943781266336e-07,2.079192274197392e-06,-0.000760317413985724
-8.242182720436334e-06,2.853252707991102e-06,9.137730228694924e-07,5.2447303433364665e-06,-4.344297909482075e-06,-1.3119849913741417e-05,4.3789846717923293e-07,2.3311842638001564e-06,-0.0007598328766170615
-8.101065703407173e-06,2.9733413330618125e-06,9.354568075621244e-07,5.2655552803230715e-06,-4.213291695594334e-06,-1.3003743578482738e-05,4.686898475612765e-07,2.316721777700266e-06,-0.0007591510324242704
-7.694307926272892e-06,2.9811193797080647e-06,9.083800434390915e-07,5.312622818812797e-06,-4.125292321289064e-06,-1.2819527662450231e-05,6.077811664279438e-07,2.3422606384568355e-06,-0.0007585367378257136
-7.284653668222225e-06,3.1779525233531117e-06,8.923003864660007e-07,5.384553968762422e-06,-4.051274897826421e-06,-1.2600643635176678e-05,6.911511384864556e-07,2.3419190090963544e-06,-0.0007579850065138241
-5.931782666723839e-06,3.082010694504168e-06,9.029830267756523e-07,5.386439125619983e-06,-3.977014308635515e-06,-1.240575927883344e-05,9.521776659736246e-07,2.5046275805591347e-06,-0.0007582803835281239
-3.251687898356776e-06,2.8213739282887528e-06,8.357016735132972e-07,5.3783688409967e-06,-3.820396290472112e-06,-1.220473972227142e-05,1.3446401430707148e-06,2.704753455590478e-06,-0.0007594623824859103
-2.4389250710034708e-06,2.9289965334006367e-06,8.208908389226433e-07,5.466185129513906e-06,-3.669611975738505e-06,-1.2278340228767826e-05,1.5117855116486986e-06,2.842620455926661e-06,-0.0007592386362161199
-1.216877572925586e-06,2.9134379650112277e-06,7.942335834202244e-07,5.460134492271655e-06,-3.6201093853910755e-06,-1.2295545418350146e-05,1.6389885762848343e-06,3.2282490773633758e-06,-0.0007589485463398997
-6.802695783345613e-07,2.9989255057174347e-06,7.804121267085829e-07,5.453421527393322e-06,-3.6013458627565815e-06,-1.2100107709950862e-05,1.6522125913450317e-06,3.7404795904526158e-06,-0.000758053096546121
-3.614916611306946e-07,3.1124703198893413e-06,8.423354341852006e-07,5.588370400369424e-06,-3.4387419736473347e-06,-1.1877349539946571e-05,1.6443815211087295e-06,3.4545858584295296e-06,-0.0007576182620481395
-2.956695734841121e-07,3.07178144000555e-06,7.984053163482184e-07,5.571592961049215e-06,-3.431034934597168e-06,-1.1766019895566987e-05,1.5833533498048944e-06,3.917428119507301e-06,-0.0007556948718052845
-1.2630309399879177e-07,3.1551608839721503e-06,8.308319493271907e-07,5.638138847971308e-06,-3.2912324708536353e-06,-1.143501620030048e-05,1.7962827738290931e-06,3.5527292629724827e-06,-0.0007547229603084747
-3.962871073630461e-08,3.1256269869429747e-06,7.662591212081134e-07,5.692479134161491e-06,-3.2427354387639745e-06,-1.1151962814236862e-05,1.9037285686228752e-06,3.7246023214204885e-06,-0.0007532254041908387
-7.317416804424546e-08,2.8354926292143104e-06,6.180485823727231e-07,5.737537390735098e-06,-2.959073388154755e-06,-1.0687187725639005e-05,1.5579014396492378e-06,4.7608184890755755e-06,-0.0007516217316047596
