F0,F1,F2,F3,F4,F5,F6,F7,F8
-1.1938034796539498e-05,-8.581534673127805e-06,-5.151416431762021e-06,5.47997452578063e-08,-4.8212202057901335e-06,-9.806478669660543e-06,-1.905983590242943e-05,-3.950863535929099e-05,-0.0006614496150844307
-1.4831305775312045e-05,-8.95974378076137e-06,-3.87394617801405e-06,-2.2308842963987546e-07,-4.852873523400603e-06,-9.756259846154679e-06,-1.9799926372201308e-05,-3.663102979457912e-05,-0.0006740321310110455
-1.703908900885133e-05,-7.983687252990742e-06,-3.5617254961436384e-06,-3.5446808141634385e-07,-4.684555252099257e-06,-8.752856678565658e-06,-2.438108533176166e-05,-3.4235652214062766e-05,-0.0006757111853952227
-1.703801285203606e-05,-8.023493573049315e-06,-3.6998283449513176e-06,-7.245092241273744e-07,-5.072194377192326e-06,-9.11528099763386e-06,-3.4349777177421864e-05,-3.326101670279039e-05,-0.0006682148581285642
-1.537607907977002e-05,-7.298036361577219e-06,-2.837175421036777e-06,-2.490323473393823e-07,-3.5277978840275488e-06,-8.242210611237831e-06,-3.6937181427936275e-05,-2.8115505145941462e-05,-0.0006808559530988997
-1.0390868605961033e-05,-5.552121130034871e-06,-1.214878864699271e-06,1.929262964891424e-06,-7.680868196333738e-07,-5.245828465071843e-06,-3.749038725251846e-05,-1.6481017144654386e-05,-0.0007205320460600979
-9.13661727208326e-06,-5.480878427191324e-06,-1.1087793262057935e-06,2.1302362587548135e-06,-5.339912260942204e-07,-5.084793452707856e-06,-3.789818781452625e-05,-1.5184977395721153e-05,-0.0007259453160553413
-9.959584048767141e-06,-5.456850771655526e-06,-1.3066726256040686e-06,2.029522535830268e-06,-6.374946539100119e-07,-5.304391486159436e-06,-3.9417490751084476e-05,-1.4633459435684127e-05,-0.0007263698834740769
-8.153335888505926e-06,-5.169597644831993e-06,-8.354915608418119e-07,2.035563729496691e-06,-7.221965800638015e-07,-6.540573903916357e-06,-4.032653265187304e-05,-1.5198250027357558e-05,-0.0007285932235165563
-7.686736348178201e-06,-4.967944036999109e-06,-5.841889438948021e-07,1.7818496987218609e-06,-7.950354942024052e-07,-7.655887195313873e-06,-4.1286387002848744e-05,-1.5740997032024082e-05,-0.0007302003116897072
-7.690431748514904e-06,-4.560088997953669e-06,-5.678848664689072e-07,1.7506142471871542e-06,-1.0734177558070357e-06,-7.834933564463205e-06,-4.1996903575946e-05,-1.646914274873678e-05,-0.0007314897823670778
