,Ytrue_0,Ytrue_1,Ytrue_2,Ypred_0,Ypred_1,Ypred_2
Ytrue_0,1.0,0.9852952712894434,0.881519774469404,0.9974853536167475,0.9900491466205258,0.9263974367548344
Ytrue_1,0.9852952712894434,1.0,0.9099997416110593,0.9817596561559079,0.992978563753557,0.943658538298591
Ytrue_2,0.881519774469404,0.9099997416110593,1.0,0.8802303762513902,0.9050572024287814,0.9737565231215659
Ypred_0,0.9974853536167475,0.9817596561559079,0.8802303762513902,1.0,0.9924934899489246,0.928590720349326
Ypred_1,0.9900491466205258,0.992978563753557,0.9050572024287814,0.9924934899489246,1.0,0.9488786111952636
Ypred_2,0.9263974367548344,0.943658538298591,0.9737565231215659,0.928590720349326,0.9488786111952636,1.0
