,Ytrue_0,Ytrue_1,Ypred_0,Ypred_1
Ytrue_0,1.0,0.9878394050545798,0.9990624555935136,0.9876476347921982
Ytrue_1,0.9878394050545798,1.0,0.98710608962869,0.9982412816774497
Ypred_0,0.9990624555935136,0.98710608962869,1.0,0.988908774879679
Ypred_1,0.9876476347921982,0.9982412816774497,0.988908774879679,1.0
