y_true,y_pred,residual
0.001149,0.001140421999999999,8.578000000001055e-06
0.001223,0.0012041600000000001,1.8839999999999786e-05
0.001137,0.0011303250000000021,6.674999999997872e-06
0.001211,0.0011912366666666653,1.976333333333479e-05
0.001126,0.0011175873333333349,8.412666666665191e-06
0.0012,0.0011811899999999997,1.881000000000018e-05
0.001117,0.0011094809999999998,7.519000000000102e-06
0.00119,0.0011657199999999986,2.4280000000001523e-05
0.001107,0.00109769,9.310000000000004e-06
0.001181,0.0011502179999999995,3.0782000000000465e-05
0.001099,0.0010902866666666685,8.71333333333146e-06
0.001172,0.0011472826666666658,2.4717333333334297e-05
0.001091,0.0010791040000000007,1.1895999999999305e-05
0.001164,0.0011332400000000017,3.0759999999998384e-05
0.001085,0.0010622650000000004,2.273499999999964e-05
0.001157,0.0011092600000000008,4.773999999999924e-05
0.001078,0.001074457666666666,3.542333333334067e-06
0.00115,0.0011350956666666672,1.490433333333277e-05
0.001073,0.0010657446666666678,7.255333333332139e-06
0.001144,0.0011275733333333314,1.642666666666864e-05
0.001067,0.001053851333333331,1.314866666666907e-05
0.001138,0.0011069156666666656,3.108433333333426e-05
0.001063,0.0010460969999999997,1.6903000000000187e-05
0.001133,0.0011004659999999985,3.253400000000138e-05
0.001058,0.0010451173333333324,1.2882666666667484e-05
0.001129,0.001106252333333333,2.274766666666701e-05
0.001054,0.0010545166666666673,-5.166666666672846e-07
0.001124,0.0011159583333333306,8.041666666669433e-06
0.00105,0.0010436466666666668,6.3533333333331155e-06
0.001121,0.001104823333333335,1.617666666666514e-05
0.001047,0.0010433080000000008,3.691999999999151e-06
0.001117,0.0011030103333333344,1.3989666666665507e-05
0.001045,0.001044794666666666,2.05333333333892e-07
0.001114,0.0011114549999999997,2.5450000000002814e-06
0.001043,0.0010407339999999995,2.2660000000005506e-06
0.001112,0.0011038356666666688,8.164333333331164e-06
0.001041,0.0010408670000000007,1.329999999993836e-07
0.001109,0.0011070366666666687,1.9633333333312145e-06
0.001039,0.001036777333333334,2.2226666666659567e-06
0.001107,0.0011012790000000023,5.720999999997596e-06
0.001037,0.00103736266666667,-3.62666666670064e-07
0.001105,0.0011032666666666686,1.7333333333314962e-06
0.001036,0.001036192000000002,-1.9200000000193888e-07
0.001104,0.0011024466666666685,1.553333333331481e-06
0.001035,0.0010351886666666668,-1.8866666666689062e-07
0.001103,0.0011015266666666679,1.473333333332173e-06
0.001034,0.0010345573333333346,-5.573333333346638e-07
0.001103,0.0011019266666666655,1.0733333333345484e-06
0.001034,0.0010340916666666655,-9.166666666547175e-08
0.001102,0.0011022299999999983,-2.2999999999841723e-07
0.001034,0.001033940666666665,5.933333333506263e-08
0.001102,0.001101969999999997,3.00000000028576e-08
0.001034,0.0010342336666666657,-2.3366666666575601e-07
0.001102,0.0011017199999999964,2.800000000035413e-07
0.001034,0.0010353399999999985,-1.3399999999985472e-06
0.001102,0.0011029466666666648,-9.466666666649477e-07
0.001035,0.0010373066666666672,-2.3066666666672793e-06
0.001102,0.00110452,-2.519999999999996e-06
0.001036,0.0010375066666666695,-1.5066666666694283e-06
0.001103,0.0011046266666666625,-1.6266666666624272e-06
0.001037,0.001036746666666667,2.5333333333291304e-07
0.001104,0.0011039866666666682,1.3333333331736266e-08
0.001038,0.0010378070000000047,1.92999999995341e-07
0.001105,0.0011048833333333304,1.166666666696601e-07
0.001039,0.0010385066666666666,4.933333333334393e-07
0.001106,0.0011053133333333337,6.86666666666275e-07
0.001041,0.001040497000000002,5.029999999980536e-07
0.001108,0.0011077899999999987,2.1000000000135494e-07
0.001043,0.0010417333333333331,1.2666666666669504e-06
0.00111,0.0011086700000000002,1.3299999999999076e-06
0.001045,0.0010456933333333326,-6.933333333326852e-07
0.001112,0.0011120366666666672,-3.666666666731627e-08
0.001048,0.0010488666666666657,-8.666666666656397e-07
0.001114,0.001115173333333335,-1.1733333333350388e-06
0.00105,0.0010507499999999992,-7.499999999992322e-07
0.001116,0.0011163966666666698,-3.9666666666973195e-07
0.001053,0.0010534899999999983,-4.89999999998391e-07
0.001118,0.001119403333333335,-1.4033333333349739e-06
0.001055,0.0010548066666666693,1.9333333333066728e-07
0.001121,0.0011201466666666687,8.533333333313013e-07
0.001058,0.001057870999999999,1.2900000000083851e-07
0.001123,0.0011233699999999996,-3.6999999999953737e-07
0.001062,0.0010600210000000015,1.9789999999985253e-06
0.001126,0.0011255833333333326,4.1666666666744477e-07
0.001065,0.0010641533333333362,8.466666666638069e-07
0.001129,0.0011288366666666672,1.63333333332797e-07
0.001068,0.0010656133333333336,2.3866666666663705e-06
0.001132,0.001129986666666666,2.0133333333339533e-06
0.001072,0.0010686833333333372,3.316666666662799e-06
0.001136,0.0011327233333333342,3.2766666666658555e-06
0.001076,0.0010764166666666671,-4.1666666666722793e-07
0.001139,0.0011406966666666675,-1.6966666666674325e-06
0.001079,0.0010753206666666677,3.6793333333324293e-06
0.001143,0.0011381300000000004,4.869999999999484e-06
0.001083,0.0010823056666666659,6.943333333341104e-07
0.001146,0.0011454766666666684,5.233333333317432e-07
0.001088,0.0010828053333333345,5.19466666666548e-06
0.00115,0.0011452533333333303,4.746666666669702e-06
0.001091,0.0010865266666666676,4.473333333332354e-06
0.001154,0.0011487400000000005,5.259999999999553e-06
0.001095,0.0010930963333333342,1.9036666666658129e-06
0.001159,0.001155476666666663,3.5233333333371288e-06
0.0011,0.0010925073333333368,7.492666666663282e-06
0.001163,0.0011534466666666676,9.553333333332326e-06
0.001105,0.001096783999999998,8.216000000002078e-06
