F0,F1,F2,F3,F4,F5,F6
-4.311065973609542e-06,6.255220855060328e-07,5.710469300518253e-07,-1.8559169510227418e-05,-4.3502940897104886e-07,-0.0001287081500264409,-0.00026702059302965
-3.918671078927377e-06,2.449377496496458e-07,4.4013630781612807e-07,-1.9221916874094454e-05,-2.0606765521089573e-06,-0.0001257339554649365,-0.0002806662930207393
5.569995511826335e-07,9.964757655466287e-07,1.0411823742971522e-06,-1.970521971874003e-05,-4.2632896784501035e-06,-0.00012232172944645216,-0.0002972275244474015
2.9193466234746474e-07,9.88177171004203e-07,-1.1911445155829876e-07,-1.9973200983001482e-05,-5.048504008988279e-06,-0.00012440483399347912,-0.000302214230663006
5.973006657607408e-08,5.982440786939933e-07,1.7285649756274066e-07,-2.004506480071691e-05,-5.699589897814185e-06,-0.00012471281085727935,-0.0003082264706870396
1.2482599662711522e-06,1.2101742876382608e-06,2.106250575723747e-06,-2.0130665828892647e-05,-6.362146520959924e-06,-0.0001250700275372346,-0.0003217116172092251
7.1925441049352e-07,1.3904784321917608e-06,2.2108831053191725e-06,-2.0629658756793925e-05,-7.697985443738442e-06,-0.0001255930558235891,-0.0003269463548572319
7.971490112472743e-07,1.7769497841550175e-06,2.74600747460638e-06,-2.0809606437473948e-05,-8.896039385441676e-06,-0.00012708045976733503,-0.0003347871062797737
-1.505438993743408e-07,1.3121324770606654e-06,2.416045706785932e-06,-2.1065843830286095e-05,-8.792041395191148e-06,-0.00012949520037376102,-0.00033596432095191577
-1.5487550246362647e-06,1.1806122377672443e-06,2.255747595890458e-06,-2.131228170523452e-05,-9.013060625828549e-06,-0.00012964987395114788,-0.00033767882746015877
-2.9167929419355927e-06,5.86362443651781e-07,2.2490448926497875e-06,-2.1673472919282962e-05,-9.186437442011155e-06,-0.00013128692583991517,-0.0003392005504598361
-3.7583605024870435e-06,-1.867668589491111e-07,2.4812185184557644e-06,-2.1857586589130294e-05,-9.094891305176466e-06,-0.00013205162916222452,-0.00034074975636717094
-5.571532697008559e-06,-1.2878776985411786e-06,3.052727305308602e-06,-2.2421446291134844e-05,-1.0311861818885909e-05,-0.0001328886668197022,-0.00034173744758004556
-5.764296394901189e-06,-1.527256379575603e-06,4.11676127412914e-06,-2.2666796122882692e-05,-1.1273492878263622e-05,-0.00013369712477599764,-0.00034290923365585136
-5.246757672036806e-06,-1.2455691916903114e-06,4.598878982450769e-06,-2.2564181753635904e-05,-1.3349040364602432e-05,-0.0001349353793505289,-0.0003449290562499601
-6.113072904340641e-06,-1.7391531409013649e-06,4.586439764560139e-06,-2.2558175925143854e-05,-1.4694621043389131e-05,-0.0001356724526979476,-0.00034384473631950927
-5.904828206939528e-06,-1.75102821485407e-06,4.81532941681255e-06,-2.2463446336755873e-05,-1.6430190388153976e-05,-0.00013685753779698261,-0.00034315607073980107
-5.422049743998127e-06,-1.8790953621132454e-06,5.121821560007173e-06,-2.240159394630008e-05,-1.7222927288506965e-05,-0.00013728570718118282,-0.00034365488697124774
-5.564023015157157e-06,-1.8795179927934217e-06,5.2736780626642714e-06,-2.2498988028113674e-05,-1.879783008882268e-05,-0.00013803892541229288,-0.0003438668324588239
-5.511958506147135e-06,-1.9733015005975717e-06,5.717510577310161e-06,-2.2746760375134725e-05,-2.0154131216556135e-05,-0.00013852445468952331,-0.000343540676556025
-5.729326553559382e-06,-2.0605548429509958e-06,5.921504184819106e-06,-2.3011437062891945e-05,-2.0711740240304368e-05,-0.00013899162023379047,-0.0003442295975179965
-6.0611997451836265e-06,-1.87069539927422e-06,6.013668506877735e-06,-2.318263044251635e-05,-2.1032233956834847e-05,-0.00013963594767008673,-0.00034346073355965336
-6.497500729682165e-06,-1.8181338688326864e-06,5.770931321813179e-06,-2.3288478869532794e-05,-2.2127251282652486e-05,-0.00013995356909596526,-0.00034250576974181657
-6.8221642707884994e-06,-1.844408485869454e-06,5.140030811181461e-06,-2.348066367159595e-05,-2.2567313919436523e-05,-0.0001403624094958085,-0.0003416028432343543
-6.868314744569395e-06,-1.7848541100900517e-06,5.242898225241406e-06,-2.355762552931015e-05,-2.29576324772382e-05,-0.00014060675851155165,-0.0003413341517858219
-7.072017099966371e-06,-1.6546331174725793e-06,4.757615686022373e-06,-2.3619277006651905e-05,-2.3274624925331566e-05,-0.00014073615159927347,-0.0003400940175373324
-7.16523179031993e-06,-1.6639324249454312e-06,4.812663678427652e-06,-2.3723726733603427e-05,-2.3570209756472926e-05,-0.00014090537597274077,-0.00033979362593368636
-7.291481668548179e-06,-1.5533130679781031e-06,4.257932660231274e-06,-2.378346102039955e-05,-2.4288177792565794e-05,-0.00014111225457691078,-0.0003378590168004992
-7.170725878920049e-06,-1.4375443915369924e-06,3.889022981640314e-06,-2.3682642038435886e-05,-2.4219533059719412e-05,-0.00014117578570799438,-0.00033705923083837284
-7.152205617496307e-06,-1.455614617797605e-06,3.69089037530781e-06,-2.3666482964090524e-05,-2.4117520152733304e-05,-0.0001411523812837428,-0.0003360664580061201
-7.095663042810393e-06,-1.5107695689279582e-06,3.2924838234399774e-06,-2.35701831532842e-05,-2.4014247970621563e-05,-0.0001410609796049114,-0.0003351537460828894
-7.0138109453366345e-06,-1.64157442156128e-06,3.412603064736344e-06,-2.3623001688463887e-05,-2.3979518206941352e-05,-0.0001407338745823515,-0.00033476059548675184
-7.049226559406869e-06,-1.6587829782858145e-06,3.4491048693951903e-06,-2.363107414057558e-05,-2.3865291997955217e-05,-0.00014065813909665408,-0.0003338930290298542
