,Ytrue_0,Ytrue_1,Ytrue_2,Ytrue_3,Ypred_0,Ypred_1,Ypred_2,Ypred_3
Ytrue_0,1.0,0.9991491527835127,0.9932332305935977,0.9906252408346838,0.9997755486820284,0.9992757518192574,0.995563411715719,0.9933251258192843
Ytrue_1,0.9991491527835127,1.0,0.995818515742522,0.9931103984230711,0.9987920344403438,0.9995332292177002,0.9972706706026309,0.9951591683627948
Ytrue_2,0.9932332305935977,0.995818515742522,1.0,0.9964820663011451,0.9922645891245582,0.9944883612560329,0.9982294778765238,0.9958414591561253
Ytrue_3,0.9906252408346838,0.9931103984230711,0.9964820663011451,1.0,0.989723906700474,0.9920736444015188,0.9955587311124471,0.9980169955100077
Ypred_0,0.9997755486820284,0.9987920344403438,0.9922645891245582,0.989723906700474,1.0,0.9994455095162138,0.995486914450788,0.9932713306036705
Ypred_1,0.9992757518192574,0.9995332292177002,0.9944883612560329,0.9920736444015188,0.9994455095162138,1.0,0.9973946290892814,0.9954006486385565
Ypred_2,0.995563411715719,0.9972706706026309,0.9982294778765238,0.9955587311124471,0.995486914450788,0.9973946290892814,1.0,0.9979414041487911
Ypred_3,0.9933251258192843,0.9951591683627948,0.9958414591561253,0.9980169955100077,0.9932713306036705,0.9954006486385565,0.9979414041487911,1.0
