F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
7.706683133398774e-08,-7.869552700474786e-06,-2.33000581191855e-06,-7.965392127413122e-06,-2.1895238444755703e-05,-1.960666150349755e-05,-2.183623836655161e-06,-1.958684339852609e-05,-5.821567169905014e-06,-5.93815340743593e-06,1.894773055183802e-07,-3.839715375001265e-05,0.00016172397441375518
-2.2745265103234413e-07,-8.408747132582542e-06,-2.5348525918632898e-06,-7.952850449688116e-06,-2.042344406419317e-05,-1.8365652736467082e-05,-2.0796371774641347e-06,-1.7697863595917593e-05,-2.872404323708237e-06,-5.128789867227454e-06,4.058050884225934e-07,-3.845394226626153e-05,0.00014333282483465647
-1.0686065041512129e-06,-1.2891321107697263e-05,-3.5106174091384465e-06,-9.762454876460101e-06,-1.5901602882717638e-05,-1.5070326019215974e-05,-1.6664721095644816e-06,-1.4080379897920499e-05,-6.052395510840631e-07,-2.646761603171386e-06,1.5249599964627993e-06,-3.076710366334962e-05,0.00011303558536134965
-8.391009469697322e-07,-1.44383005896548e-05,-3.986056850580931e-06,-1.0480868937747114e-05,-1.6383796966329304e-05,-1.4223244978769135e-05,-1.6990686706355396e-06,-1.4187384204887963e-05,-3.7879095032283244e-07,-2.4866885361791273e-06,1.5086708167110355e-06,-2.8738697914828416e-05,0.00010410965513020134
-1.3259490744462869e-06,-1.8530159434488324e-05,-4.018065404199765e-06,-1.3445404968848317e-05,-1.7037934619236993e-05,-7.0489119962763965e-06,-1.8860095144567746e-06,-9.938692222250393e-06,-2.417154135596506e-07,-1.0153009995154614e-06,1.9509904543607737e-06,-1.5607744453869933e-05,7.514122404679073e-05
-1.4657894030489932e-06,-1.9685208685255967e-05,-3.965901493458722e-06,-1.3836231931981619e-05,-1.7822516858598655e-05,-5.330244979202939e-06,-1.6893250291184183e-06,-1.0874610432392591e-05,-6.090520279204847e-07,-1.0679785875010352e-06,2.0875585688153312e-06,-1.4024999427029886e-05,6.911729335336311e-05
-1.1822562526570397e-06,-2.012612371155046e-05,-4.1373011420668685e-06,-1.4148641419868963e-05,-1.927452757476594e-05,-4.714836743332964e-06,-2.0820502727752892e-06,-1.0897358323222874e-05,-2.4124856115015665e-06,-1.151389198864819e-06,1.9529480177413812e-06,-1.3940846452458767e-05,5.960786175199043e-05
-4.5270535800232477e-07,-2.030587177566501e-05,-4.154869441999518e-06,-1.4370750429572127e-05,-1.9536688237058314e-05,-4.666129297863464e-06,-2.282476938955493e-06,-1.3141695470705316e-05,-3.5411821011255284e-06,-1.185936213825258e-06,1.8497066973299861e-06,-1.3996692269794321e-05,5.150161723723644e-05
1.8494716891525644e-07,-2.1137232523812417e-05,-3.930476322948173e-06,-1.422208345284621e-05,-1.946103986326876e-05,-3.7322802739371163e-06,-1.9743681098023227e-06,-1.216126466877888e-05,-2.503372912796189e-06,-7.17535781019998e-07,1.9046671026113005e-06,-1.3868340371718955e-05,4.181803974273533e-05
5.141106404408031e-07,-2.2038550939424922e-05,-3.81159673971389e-06,-1.4392592491287678e-05,-1.866799050157916e-05,-4.073251317108173e-06,-1.7449516404115067e-06,-1.1539356391168858e-05,-2.1761789078318175e-06,-8.091578312639715e-07,2.2566368978284516e-06,-1.4016223642209704e-05,3.105542926373065e-05
5.068915971679489e-07,-2.256828483756904e-05,-3.721370730660354e-06,-1.4555582898491496e-05,-1.7705129014449583e-05,-4.806680531635726e-06,-1.6639511700358934e-06,-1.1880082239730804e-05,-1.2717412313226285e-06,-6.372701143873058e-07,2.310478424924455e-06,-1.4104335223868162e-05,2.331005103672615e-05
5.156631475198729e-07,-2.3189884019133345e-05,-3.947049277974058e-06,-1.4298536317007206e-05,-1.711567341135927e-05,-5.484388177913745e-06,-1.5225566600228082e-06,-1.0874768846043266e-05,-1.5587000344174177e-06,-6.077222242932384e-07,2.5814489696621405e-06,-1.4017646985451872e-05,1.558614023643423e-05
4.1487916310204963e-07,-2.33430812414326e-05,-3.6386358885458923e-06,-1.44297148018722e-05,-1.6660262805145192e-05,-5.595995830073529e-06,-1.8659682678357833e-06,-9.725050045260958e-06,-1.8543144310810057e-06,-5.71369636561742e-07,2.446403458924958e-06,-1.4199977324931617e-05,1.0452747384046423e-05
4.1446562624128935e-07,-2.3625067502365217e-05,-3.808760217632461e-06,-1.440027708570964e-05,-1.6050661673702954e-05,-5.617867252127964e-06,-1.8743611201016401e-06,-1.0360378567082063e-05,-1.501908306942603e-06,-5.015283920698962e-07,2.745343191284904e-06,-1.4164718841970661e-05,4.958713208845644e-06
3.38037377436568e-07,-2.3320953968093573e-05,-3.836316836841088e-06,-1.3695882700648377e-05,-1.5281293618812e-05,-6.186436158768166e-06,-1.8757155760686517e-06,-1.1427272791185256e-05,-1.3234593824110913e-06,-6.228021731388098e-07,2.6162889241226147e-06,-1.4240546075531262e-05,-8.139872867277079e-07
2.8031064482039223e-07,-2.3342541175370787e-05,-3.898871942718389e-06,-1.3821982425043564e-05,-1.4671324788470635e-05,-7.003729382950471e-06,-2.120264360559855e-06,-1.077763639597969e-05,-1.07331595710441e-06,-6.155784529017581e-07,2.7565205221600967e-06,-1.4276294677124634e-05,-6.0689652087563986e-06
2.0501673306294807e-07,-2.3304286832328948e-05,-3.7460864943808933e-06,-1.3924445257819067e-05,-1.4217072286345773e-05,-7.43692222516566e-06,-2.170278213530632e-06,-1.1123458674327691e-05,-1.3710768728261702e-06,-5.956246474453134e-07,2.734418286910005e-06,-1.4199229704163514e-05,-9.934627411639452e-06
1.7365801995026953e-07,-2.4051067257609567e-05,-3.841657095973438e-06,-1.3899586270641643e-05,-1.396938979156416e-05,-7.806713834008205e-06,-2.0705252644841328e-06,-1.0606246724777629e-05,-1.3527662802574407e-06,-4.820192568609596e-07,2.649348402152945e-06,-1.4292041606037385e-05,-1.3834666639889471e-05
-1.113369593762143e-07,-2.4656632038442947e-05,-3.855811987523723e-06,-1.3614494956906095e-05,-1.29236623003768e-05,-8.904358050427413e-06,-2.2160993088603533e-06,-9.390269454189374e-06,-1.7829501532620074e-06,-3.7348913255118633e-07,2.7833969722142425e-06,-1.4051830162287415e-05,-1.8852802734678346e-05
3.247614600529472e-08,-2.4910548852876468e-05,-3.7758462260736356e-06,-1.3391591638179003e-05,-1.2409261425311651e-05,-9.007123011853923e-06,-2.2412149237687445e-06,-8.322345529150133e-06,-2.4011218319388313e-06,-3.283568974852823e-07,2.8450631201224587e-06,-1.3986518119973545e-05,-2.2283951076183747e-05
-4.800974420571515e-07,-2.5679366259762803e-05,-4.837261320519388e-06,-1.3726970351418912e-05,-1.134203881676619e-05,-1.0420028113476828e-05,-2.4460039614906873e-06,-4.949554037165227e-06,-1.6881395293973947e-06,6.794298046892642e-08,3.430361123976797e-06,-1.3411919669359885e-05,-2.949393153636483e-05
