F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
4.2373412185449045e-07,-1.7569238360987873e-06,-6.160808714859158e-07,-1.467348903193077e-06,-7.654651307736844e-06,-6.929364614603982e-06,1.313894285025651e-07,-7.356275854105863e-06,-1.7510046647258613e-06,1.870352091273707e-08,1.27470133185214e-06,-3.480532958266676e-05,0.00019952201603148557
3.2318419785310516e-07,-1.913237134082486e-06,-8.445440603182448e-07,-1.2977700744256662e-06,-7.172269531244781e-06,-7.031744295608087e-06,1.1233965121361417e-07,-7.1858283906970596e-06,-6.695846727557421e-07,3.1610712797885806e-07,1.4343106529859566e-06,-3.4829320281390264e-05,0.00018373192161048546
2.6128039662978565e-07,-3.0741472249720903e-06,-1.1279013577878111e-06,-1.3175844462596239e-06,-4.971942679315358e-06,-5.728397818565899e-06,2.9940469670520346e-07,-5.630011400350636e-06,4.0529555041325754e-07,1.2614227319312218e-06,1.8562236412068783e-06,-2.759812703148516e-05,0.00015411804974184472
1.6581578424660665e-07,-3.907702484429965e-06,-1.3828877168781144e-06,-1.6848523485901159e-06,-5.3182743832757544e-06,-5.8329344632286115e-06,1.5800568715185942e-07,-5.766515089434655e-06,4.6086282125894245e-07,1.2873399194219912e-06,1.8074853229419684e-06,-2.5704758824545947e-05,0.00014498531390868557
8.655741662183163e-08,-5.261675090040179e-06,-1.2964990673984478e-06,-2.3488686381821574e-06,-5.031413320793536e-06,-2.713324519196907e-06,1.8039147159982459e-07,-3.844128653345905e-06,7.905068463521285e-07,1.9776344573149106e-06,2.140405429011807e-06,-1.3673191728285498e-05,0.00011415383686301143
-4.23673307215414e-09,-5.9199783705382684e-06,-1.243373718177125e-06,-2.7738680194657495e-06,-5.855923474405115e-06,-1.9967488125451626e-06,1.0763278630154299e-07,-4.463534966077468e-06,4.6674726312202726e-07,2.0138021623303544e-06,2.1691325712144715e-06,-1.2277119881665289e-05,0.00010701436732631527
8.816700852856815e-08,-6.25724564107283e-06,-1.3612025234499714e-06,-3.0989186820005564e-06,-6.619271258032662e-06,-1.8562682965005104e-06,-4.615187804546775e-08,-4.443596947287213e-06,-6.229903548082336e-07,1.8113566222927555e-06,2.1005399959036236e-06,-1.2317031800901357e-05,9.853617855537838e-05
3.642664020621946e-07,-6.417622583242363e-06,-1.4584582575122707e-06,-3.5011929836449547e-06,-6.9726059577349886e-06,-1.9159001950503787e-06,-1.5239215729355808e-07,-6.50246163237485e-06,-1.2839190640486671e-06,1.8634620923197098e-06,2.0412640332212816e-06,-1.2340871404975191e-05,9.035666317494504e-05
7.29638219100467e-07,-7.265107289390381e-06,-1.3279610962861044e-06,-3.3333067957214354e-06,-6.532933916460059e-06,-1.2768189450588887e-06,6.42908161271235e-09,-6.2586784437864165e-06,-8.847347849883797e-07,2.161382281783713e-06,1.985907850481334e-06,-1.2270487586979128e-05,7.99969028923623e-05
8.780556573935972e-07,-7.600260532916909e-06,-1.2252043067168953e-06,-3.4314593278947824e-06,-6.108721891750826e-06,-1.3129600358796735e-06,1.6629206885772187e-07,-6.2640587289275545e-06,-7.303398457947407e-07,2.0511936540632924e-06,2.059417998594508e-06,-1.2420404138348566e-05,6.985201422932239e-05
9.614738362017882e-07,-7.96550198432394e-06,-1.2459510788082524e-06,-3.5921028426905705e-06,-5.52419913499002e-06,-1.6133181948534965e-06,1.1294656549390185e-07,-6.537869084640238e-06,-2.983952844648579e-07,2.0808516711525498e-06,2.0691075899496265e-06,-1.2523753808885287e-05,6.209027655086127e-05
9.358166094201945e-07,-8.189648431522192e-06,-1.4023022149825697e-06,-3.42471480891844e-06,-5.159867475440255e-06,-2.0649189001138114e-06,3.0033247486595875e-07,-6.106421297712905e-06,-4.5389008146680364e-07,2.043516706828636e-06,2.13113235970238e-06,-1.2518486913906736e-05,5.518301677324713e-05
7.867735290192976e-07,-8.430377560430287e-06,-1.3296110531306802e-06,-3.6492600982325053e-06,-4.976256687412545e-06,-2.2730484131803666e-06,1.0131599162894707e-07,-5.613341955804792e-06,-6.75691416826334e-07,2.0168345800393497e-06,2.0176159517403766e-06,-1.263106679790081e-05,5.029967873048975e-05
