F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
2.127616009381716e-07,-3.0154128410003797e-06,-2.9102278049986355e-06,-3.657414605986693e-06,-1.2229825902607134e-05,-8.796438742641598e-06,-4.166793625078104e-07,-7.720276055091232e-06,-1.6816021130518374e-06,5.398411695208199e-07,1.8176605692997455e-06,-3.4738130529466825e-05,0.00018973988008426105
4.577669543625727e-07,-3.4169116638821754e-06,-3.065081232222256e-06,-3.188618779026038e-06,-1.1600444832396291e-05,-9.28401120513387e-06,-5.885627387158752e-07,-8.154326517697898e-06,-1.1202102193091929e-06,7.466844166509378e-07,1.8612660228327878e-06,-3.499603060977094e-05,0.00017398261587098083
5.611380987380532e-07,-5.471502513671372e-06,-3.412111332254937e-06,-3.503833024096778e-06,-9.156371993682655e-06,-8.009569358785457e-06,-3.072081765564778e-07,-6.811410308959748e-06,-4.2009775066683336e-07,1.144889850249658e-06,2.163622815456027e-06,-2.7571004736976857e-05,0.0001460175938978832
6.555644786823814e-07,-6.344444624256332e-06,-3.726372285728971e-06,-3.9337527559750825e-06,-9.646336201409572e-06,-8.16311672524803e-06,-5.236356498023893e-07,-6.520966581416024e-06,-5.130619754099806e-07,1.1072152038343295e-06,2.2025868445703145e-06,-2.5540463079580523e-05,0.00013775091881841752
8.787094679366995e-07,-8.105042534191502e-06,-3.8886506236485865e-06,-5.294315464723052e-06,-9.956037039649354e-06,-4.359143215572421e-06,-4.7594655471621614e-07,-4.203953957502596e-06,-2.984290950018285e-07,1.7029286531279112e-06,2.2800416886131576e-06,-1.3303992909362032e-05,0.00010793463371802698
7.326103025188837e-07,-8.823665562675004e-06,-3.808003834455851e-06,-5.800784159338721e-06,-1.1002632869282434e-05,-3.5439501923545515e-06,-5.229307039337158e-07,-4.653091951962829e-06,-4.05808976588657e-07,1.8278876295092957e-06,2.3917218222714597e-06,-1.1905171271459143e-05,0.00010078795523441918
8.475674955501407e-07,-9.079960464677305e-06,-3.749673643840768e-06,-6.0488705447711495e-06,-1.181641634606519e-05,-3.3286014516980835e-06,-5.657276918520222e-07,-4.597057837458308e-06,-1.2584612324069166e-06,1.6900455695240618e-06,2.3349514022722434e-06,-1.1970764740571958e-05,9.246710495266389e-05
9.908618701986797e-07,-9.18942650822086e-06,-3.7648574952337995e-06,-6.47036020152124e-06,-1.2041053883581237e-05,-3.283678335092906e-06,-6.16225028673665e-07,-6.940524704699989e-06,-1.5327671833636855e-06,1.824046802361703e-06,2.291746224324489e-06,-1.202341802692182e-05,8.436979193709195e-05
1.2420670189112397e-06,-1.0247917546750927e-05,-3.6812419559620302e-06,-6.338047349922147e-06,-1.142203106583234e-05,-2.5705544165818378e-06,-5.066648812019526e-07,-6.828294097913385e-06,-1.160716156922376e-06,1.98037721353824e-06,2.328768494918492e-06,-1.1942217698405284e-05,7.374394124212302e-05
1.4110344080735703e-06,-1.0502804406846894e-05,-3.4824320632330347e-06,-6.23002867879325e-06,-1.0509524457871006e-05,-2.5254139616698804e-06,-4.878871698763989e-07,-6.952407716552307e-06,-1.0899304982885899e-06,2.0337978844748423e-06,2.3663156709110064e-06,-1.2029620165942972e-05,6.359970328895039e-05
1.5615483181239302e-06,-1.082739294408006e-05,-3.6841305861864677e-06,-6.393791461229551e-06,-9.436667420583802e-06,-3.150562063107899e-06,-5.890783048161724e-07,-7.359789500151333e-06,-6.903349304810858e-07,2.0492075559750393e-06,2.404834867723616e-06,-1.2085488276489071e-05,5.5725780211969866e-05
1.569301275019315e-06,-1.093394878517448e-05,-3.7356808612209236e-06,-6.2236025930475825e-06,-8.75241185587704e-06,-3.493009937274756e-06,-3.114420019001913e-07,-6.924107489470425e-06,-7.121979186768778e-07,2.021037493186641e-06,2.397094345475181e-06,-1.2154217223585442e-05,4.901065435254649e-05
1.4474052272995116e-06,-1.0916325595820864e-05,-3.613147695336482e-06,-6.288832929237561e-06,-8.385492564394518e-06,-3.6647855912493034e-06,-3.0901152850746254e-07,-6.150360647278702e-06,-8.288846780532417e-07,2.0722550330725974e-06,2.3764006657551904e-06,-1.2234504931624055e-05,4.4306087368708906e-05
1.3966574323669608e-06,-1.1326055511765875e-05,-3.7002345195195837e-06,-6.593252124470937e-06,-8.061077941072322e-06,-3.977019397023926e-06,-5.191497380557945e-07,-6.445407467354673e-06,-8.100796438557852e-07,2.0097677433176155e-06,2.370799044494853e-06,-1.2274498746396253e-05,3.824368633600305e-05
1.2432873427300993e-06,-1.1019709998358436e-05,-3.620138636832068e-06,-5.894520180975465e-06,-7.676910948780356e-06,-4.434592290963836e-06,-4.876489671233694e-07,-6.622389517630864e-06,-6.042423642696326e-07,2.039956292511803e-06,2.434062861822125e-06,-1.2371454550662517e-05,3.3168436425198265e-05
