,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,3.2609102096742802e-06,2.2370239999999117e-06,0.9999539280873131,,,
120,3.2464857006372495e-06,2.250122666666662e-06,0.999953996454645,,,
200,6.471029983618547e-06,4.00414933333341e-06,0.9998108775357332,,,
250,6.67575259644069e-06,4.13391466666629e-06,0.999795351709124,,,
aggregate,,,,4.913544622592692e-06,3.1563026666665682e-06,0.9998785384467037
