,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,4.736609990747066e-06,3.299264000000038e-06,0.9999356941487014,,,
120,6.570431803161602e-06,4.338336000000472e-06,0.99988100902,,,
200,1.1106128223043221e-05,7.226437333333591e-06,0.9996772730487171,,,
250,1.027669068912819e-05,6.48648533333351e-06,0.9997135867347023,,,
aggregate,,,,8.17246517652002e-06,5.337630666666903e-06,0.9998018907380303
