,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,4.771207979350942e-06,3.174160000000211e-06,0.9999218175909507,,,
120,5.375432269955334e-06,3.4598346666663295e-06,0.9998983452732323,,,
200,1.0814077906136612e-05,6.921535999999745e-06,0.9995386462607482,,,
250,1.6964617504546268e-05,9.940799999999702e-06,0.9987846229893047,,,
aggregate,,,,9.481333914997289e-06,5.874082666666496e-06,0.9995358580285589
