,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,6.532908724977888e-06,4.142906666666184e-06,0.9998575979699709,,,
120,8.924849306664815e-06,4.62961066666688e-06,0.9997261144845196,,,
200,1.7245306492427936e-05,8.872053333333637e-06,0.9989379244394823,,,
250,1.713170136507787e-05,1.1157605333333147e-05,0.9989709048525924,,,
aggregate,,,,1.2458691472287128e-05,7.200543999999962e-06,0.9993731354366412
