,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,3.4311072369007036e-06,2.267290666666734e-06,0.9999683030887914,,,
120,6.2595764911764595e-06,4.110986666666494e-06,0.9998954540077328,,,
200,8.600807423595901e-06,5.066618666666615e-06,0.9997998610113826,,,
250,7.790138234117583e-06,4.58525333333325e-06,0.9998304681609841,,,
aggregate,,,,6.520407346447662e-06,4.0075373333332735e-06,0.9998735215672226
