,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,3.8318098885810245e-06,2.6806986666672892e-06,0.9999535723635015,,,
120,6.7598708613564225e-06,4.9749066666666105e-06,0.999849967635407,,,
200,1.8492623079709147e-05,1.3140194488889367e-05,0.9989952545590142,,,
250,1.0973165687184047e-05,7.913725155555807e-06,0.9996110290963759,,,
aggregate,,,,1.001436737920766e-05,7.177381244444769e-06,0.9996024559135746
