,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
100,3.3387694579493043e-06,2.3165173333334373e-06,0.9999607477841816,,,
120,7.465532559108648e-06,4.625322666666507e-06,0.9998089290034067,,,
200,6.211269890556656e-06,4.372378666666768e-06,0.9998610992425057,,,
250,6.74001274380565e-06,4.7258826666665924e-06,0.9998345043650398,,,
aggregate,,,,5.938896162855065e-06,4.010025333333326e-06,0.9998663200987835
