,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,4.987443571566076e-06,2.5478197333333417e-06,0.9999084347212472,,,
100,1.5895206644744057e-05,9.002900266666905e-06,0.9990556771951117,,,
aggregate,,,,1.0441325108155067e-05,5.775360000000123e-06,0.9994820559581794
