,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,1.2874599506653256e-05,7.734312000000196e-06,0.9996192901842589,,,
100,1.8133958684898106e-05,1.0225482133333397e-05,0.9991644497393766,,,
aggregate,,,,1.550427909577568e-05,8.979897066666796e-06,0.9993918699618177
