,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,4.588597171966395e-06,2.6634085333333106e-06,0.9998212694955018,,,
100,4.816706517353064e-06,2.5679584000001593e-06,0.9998024332796938,,,
aggregate,,,,4.7026518446597295e-06,2.615683466666735e-06,0.9998118513875978
