,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,8.11855693909571e-06,4.658373333333684e-06,0.9998224278181037,,,
100,1.0675260961057634e-05,6.323584000000662e-06,0.9996906281538455,,,
aggregate,,,,9.396908950076672e-06,5.490978666667173e-06,0.9997565279859746
