,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,6.3087851931523495e-06,3.824314666667017e-06,0.9999015803647521,,,
100,9.375595992433756e-06,5.966154666666868e-06,0.9997781977146668,,,
aggregate,,,,7.842190592793052e-06,4.895234666666942e-06,0.9998398890397094
