,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,1.5100976845700899e-05,9.628694933333179e-06,0.9993694833310776,,,
100,2.4978160785240794e-05,1.7029754666666817e-05,0.9982809423242014,,,
aggregate,,,,2.0039568815470846e-05,1.3329224799999998e-05,0.9988252128276395
