,rmse,mae,r2,rmse_mean,mae_mean,r2_mean
80,1.2249639375154472e-05,5.582341333333288e-06,0.9996360498493482,,,
100,1.302017314195811e-05,6.955763733333006e-06,0.9995928392807474,,,
aggregate,,,,1.2634906258556292e-05,6.269052533333147e-06,0.9996144445650478
